T,% difference
300.0,-21.67837863495874
400.0,-16.198230616741622
500.0,-13.412643894752494
625.0,-10.530573134933828
750.0,-8.851045504909681
875.0,-7.621149545398694
1000.0,-6.785145413342445
1125.0,-5.464891099037677
1250.0,-5.514186146323638
1375.0,-4.98764168152597
1500.0,-4.375274292730349
1750.0,-4.037714337278634
2000.0,-2.983215858390111
2250.0,-3.0394081106232123
2500.0,-2.843105801910919
