    E, kcal/mol    D, mol/kcal        W1->W2a        W1->W4a         W1->P1
           47.4    7.17174e+12    5.29174e+11    3.73586e+12    1.00149e+09    2.24047e+10    1.34218e+13
           47.6    7.29525e+12    5.33003e+11    3.77087e+12    1.05717e+09    2.28547e+10    1.35158e+13
           47.8    7.42066e+12    5.36842e+11    3.80605e+12    1.11534e+09    2.33111e+10    1.36098e+13
             48    7.54799e+12    5.40692e+11    3.84138e+12     1.1758e+09    2.37737e+10    1.37038e+13
           48.2    7.67726e+12    5.44552e+11    3.87688e+12    1.23857e+09    2.42428e+10    1.37978e+13
           48.4    7.80851e+12    5.48423e+11    3.91253e+12    1.30376e+09    2.47182e+10    1.38916e+13
           48.6    7.94177e+12    5.52304e+11    3.94834e+12    1.37141e+09    2.52001e+10    1.39855e+13
           48.8    8.07704e+12    5.56195e+11    3.98431e+12    1.44156e+09    2.56885e+10    1.40793e+13
             49    8.21438e+12    5.60097e+11    4.02043e+12    1.51417e+09    2.61835e+10    1.41732e+13
           49.2    8.35379e+12    5.64009e+11    4.05672e+12    1.58949e+09    2.66851e+10     1.4267e+13
           49.4    8.49531e+12    5.67931e+11    4.09316e+12    1.66784e+09    2.71933e+10    1.43607e+13
           49.6    8.63898e+12    5.71863e+11    4.12975e+12    1.74933e+09    2.77081e+10    1.44543e+13
           49.8    8.78481e+12    5.75805e+11     4.1665e+12    1.83403e+09    2.82297e+10     1.4548e+13
    E, kcal/mol    D, mol/kcal       W3a->W2a       W3a->W5a       W3a->W6t        W3a->P3        W3a->P2        W3a->P7
            -10       6.74e+09     3.6518e+07              0      0.0025416    2.97331e+11              0       0.120732
           -9.8    7.00093e+09    4.60815e+07              0     0.00324922    3.08624e+11              0       0.159964
           -9.6    7.27061e+09    5.76041e+07              0     0.00415005    3.20184e+11              0       0.211796
           -9.4    7.54965e+09    7.13679e+07              0     0.00529561    3.31995e+11              0       0.280217
           -9.2    7.83814e+09     8.7682e+07              0     0.00675123    3.44068e+11              0        0.37048
             -9    8.13633e+09    1.06874e+08              0     0.00859923    3.56404e+11              0       0.489477
           -8.8    8.44475e+09    1.29289e+08              0      0.0109431    3.68993e+11              0       0.646228
           -8.6    8.76359e+09    1.55297e+08              0      0.0139134    3.81843e+11              0       0.852581
           -8.4    9.09296e+09    1.85302e+08              0      0.0176747    3.94961e+11              0        1.12407
           -8.2     9.4333e+09    2.19732e+08              0      0.0224336    4.08344e+11              0          1.481
             -8    9.78492e+09    2.59053e+08              0      0.0284496    4.21992e+11              0        1.94994
           -7.8    1.01482e+10    3.03752e+08              0      0.0360483    4.35903e+11              0        2.56562
           -7.6    1.05237e+10    3.54337e+08              0      0.0456379    4.50075e+11              0         3.3734
           -7.4    1.09114e+10    4.11343e+08              0      0.0577313    4.64515e+11              0        4.43258
           -7.2    1.13116e+10    4.75324e+08              0      0.0729706    4.79229e+11              0        5.82055
             -7    1.17249e+10    5.46856e+08              0      0.0921586    4.94211e+11              0        7.63817
           -6.8    1.21515e+10    6.26546e+08              0         0.1163    5.09465e+11              0        10.0169
           -6.6     1.2592e+10    7.15017e+08              0        0.14665    5.24985e+11              0        13.1279
           -6.4    1.30469e+10    8.12916e+08              0       0.184773    5.40768e+11              0         17.194
           -6.2    1.35162e+10    9.20929e+08              0       0.232629    5.56823e+11              0        22.5052
             -6    1.40005e+10    1.03976e+09              0       0.292659    5.73153e+11              0        29.4388
           -5.8       1.45e+10    1.17011e+09              0       0.367906    5.89757e+11              0        38.4847
           -5.6    1.50155e+10    1.31273e+09              0       0.462152    6.06628e+11              0        50.2788
           -5.4    1.55472e+10    1.46837e+09              0       0.580116    6.23771e+11              0        65.6469
           -5.2    1.60958e+10     1.6378e+09              0       0.727653    6.41179e+11              0        85.6593
             -5    1.66615e+10    1.82183e+09              0       0.912059    6.58861e+11              0        111.705
           -4.8    1.72449e+10    2.02126e+09              0        1.14239    6.76817e+11              0        145.583
           -4.6    1.78463e+10    2.23693e+09              0        1.42988    6.95045e+11              0        189.623
           -4.4    1.84664e+10    2.46969e+09              0        1.78846    7.13544e+11              0        246.838
           -4.2    1.91055e+10    2.72042e+09              0        2.23544    7.32319e+11              0        321.129
             -4    1.97645e+10    2.98996e+09              0        2.79219    7.51355e+11              0        417.528
           -3.8    2.04437e+10    3.27924e+09              0        3.48524    7.70664e+11              0        542.551
           -3.6    2.11435e+10    3.58918e+09              0        4.34742    7.90248e+11              0        704.605
           -3.4    2.18645e+10     3.9207e+09              0        5.41932    8.10106e+11              0        914.541
           -3.2    2.26074e+10    4.27467e+09              0        6.75105    8.30231e+11              0        1186.34
             -3    2.33726e+10     4.6521e+09              0        8.40459     8.5063e+11              0        1538.05
           -2.8    2.41612e+10    5.05384e+09              0        10.4563    8.71289e+11              0        1992.86
           -2.6    2.49732e+10    5.48094e+09              0        13.0006     8.9222e+11              0        2580.72
           -2.4    2.58095e+10    5.93435e+09              0        16.1538    9.13422e+11              0        3340.09
           -2.2    2.66705e+10    6.41506e+09              0        20.0594    9.34897e+11              0        4320.46
             -2    2.75572e+10    6.92399e+09              0        24.8937    9.56638e+11              0        5585.38
           -1.8    2.84699e+10    7.46219e+09              0        30.8743    9.78651e+11              0        7216.52
           -1.6    2.94098e+10    8.03053e+09              0        38.2681    1.00092e+12              0        9318.49
           -1.4    3.03771e+10    8.63011e+09              0        47.4041    1.02346e+12              0        12025.6
           -1.2    3.13728e+10    9.26188e+09              0         58.686    1.04627e+12              0        15509.7
             -1    3.23973e+10    9.92692e+09              0        72.6104    1.06934e+12              0        19990.6
           -0.8    3.34515e+10    1.06262e+10              0        89.7862    1.09268e+12              0        25749.3
           -0.6    3.45362e+10    1.13608e+10              0         110.96    1.11629e+12              0        33143.8
           -0.4    3.56524e+10    1.21316e+10              0        137.048    1.14015e+12              0        42629.4
           -0.2    3.68006e+10    1.29397e+10              0        169.173    1.16428e+12              0        54785.2
   -6.93946e-15    3.79817e+10    1.37862e+10              0        208.711    1.18867e+12              0          70343
            0.2    3.91963e+10    1.46721e+10              0        257.345    1.21333e+12              0        90226.8
            0.4    4.04454e+10    1.55984e+10              0        317.136    1.23825e+12              0         115595
            0.6    4.17299e+10    1.65662e+10              0        390.604    1.26342e+12              0         147893
            0.8    4.30509e+10    1.75764e+10              0        480.825    1.28885e+12              0         188906
              1    4.44091e+10    1.86302e+10              0        591.566    1.31454e+12              0         240828
            1.2    4.58053e+10    1.97286e+10              0         727.42    1.34049e+12              0         306309
            1.4    4.72403e+10    2.08728e+10              0        894.002     1.3667e+12              0         388510
            1.6    4.87154e+10    2.20636e+10              0        1098.15    1.39316e+12              0         491122
            1.8    5.02315e+10    2.33022e+10              0         1348.2    1.41988e+12              0         618357
              2    5.17897e+10    2.45896e+10              0        1654.32    1.44684e+12              0         774891
            2.2    5.33907e+10    2.59269e+10              0        2028.91    1.47407e+12         657265         965740
            2.4    5.50359e+10     2.7315e+10              0        2487.02    1.50154e+12     2.3963e+07    1.19608e+06
            2.6    5.67261e+10    2.87552e+10              0        3047.02    1.52926e+12    1.08542e+08    1.47106e+06
            2.8    5.84622e+10    3.02486e+10              0        3731.21    1.55724e+12    3.00537e+08    1.79559e+06
              3    6.02456e+10    3.17961e+10              0        4566.73    1.58547e+12    6.35244e+08    2.17422e+06
            3.2    6.20776e+10    3.33986e+10              0        5586.48    1.61394e+12    1.14077e+09    2.61115e+06
            3.4    6.39593e+10    3.50574e+10              0        6830.49    1.64265e+12    1.84794e+09    3.11033e+06
            3.6    6.58916e+10    3.67735e+10              0        8347.31    1.67161e+12    2.79085e+09    3.67579e+06
            3.8    6.78756e+10     3.8548e+10              0        10195.8    1.70082e+12    3.98794e+09    4.31193e+06
              4    6.99128e+10     4.0382e+10              0        12447.4    1.73028e+12    5.43722e+09    5.02389e+06
            4.2    7.20045e+10    4.22763e+10              0        15188.3    1.75997e+12    7.16665e+09    5.81785e+06
            4.4    7.41518e+10    4.42321e+10              0        18523.3    1.78991e+12    9.17513e+09     6.7012e+06
            4.6    7.63562e+10    4.62505e+10              0        22578.7    1.82008e+12    1.14937e+10    7.68256e+06
            4.8     7.8619e+10    4.83324e+10              0        27507.2    1.85049e+12    1.41319e+10    8.77165e+06
              5    8.09412e+10     5.0479e+10              0        33493.4    1.88114e+12    1.70834e+10    9.97913e+06
            5.2    8.33243e+10    5.26914e+10              0        40759.3    1.91203e+12    2.03357e+10    1.13162e+07
            5.4    8.57699e+10    5.49705e+10              0        49572.3    1.94316e+12    2.39296e+10    1.27945e+07
            5.6    8.82794e+10    5.73172e+10              0          60254    1.97451e+12     2.7889e+10    1.44258e+07
            5.8    9.08545e+10    5.97326e+10              0          73190     2.0061e+12    3.22431e+10    1.62217e+07
              6    9.34963e+10    6.22177e+10              0        88842.1    2.03792e+12    3.70277e+10    1.81941e+07
            6.2    9.62063e+10    6.47738e+10              0         107762    2.06997e+12    4.22564e+10    2.03546e+07
            6.4    9.89861e+10    6.74017e+10              0         130607    2.10226e+12    4.79516e+10     2.2715e+07
            6.6    1.01838e+11    7.01024e+10              0         158155    2.13477e+12    5.41091e+10    2.52872e+07
            6.8    1.04762e+11    7.28769e+10              0         191329    2.16751e+12    6.07182e+10    2.80833e+07
              7    1.07761e+11    7.57261e+10              0         231211    2.20047e+12    6.77767e+10    3.11159e+07
            7.2    1.10837e+11     7.8651e+10              0         279071    2.23365e+12    7.52669e+10    3.43985e+07
            7.4    1.13991e+11    8.16527e+10              0         336383    2.26706e+12    8.32276e+10    3.79454e+07
            7.6    1.17224e+11    8.47324e+10              0         404850    2.30069e+12    9.16485e+10    4.17721e+07
            7.8    1.20539e+11    8.78906e+10              0         486417    2.33454e+12    1.00556e+11    4.58947e+07
              8    1.23938e+11    9.11284e+10              0         583296    2.36861e+12    1.09988e+11    5.03307e+07
            8.2    1.27422e+11    9.44467e+10              0         697966     2.4029e+12    1.19938e+11    5.50982e+07
            8.4    1.30993e+11    9.78465e+10              0         833185     2.4374e+12     1.3042e+11    6.02164e+07
            8.6    1.34654e+11    1.01329e+11              0         991984    2.47212e+12    1.41467e+11    6.57046e+07
            8.8    1.38405e+11    1.04895e+11              0    1.17766e+06    2.50706e+12    1.53111e+11    7.15825e+07
              9    1.42249e+11    1.08545e+11              0    1.39377e+06     2.5422e+12    1.65374e+11    7.78698e+07
            9.2    1.46188e+11     1.1228e+11              0    1.64411e+06    2.57756e+12    1.78271e+11    8.45866e+07
            9.4    1.50225e+11    1.16101e+11              0    1.93271e+06    2.61312e+12    1.91817e+11    9.17528e+07
            9.6    1.54361e+11    1.20009e+11              0    2.26385e+06     2.6489e+12    2.06016e+11    9.93892e+07
            9.8    1.58598e+11    1.24004e+11              0    2.64205e+06    2.68488e+12    2.20882e+11    1.07516e+08
             10    1.62938e+11    1.28089e+11              0    3.07208e+06    2.72107e+12    2.36425e+11    1.16156e+08
           10.2    1.67384e+11    1.32263e+11              0    3.55898e+06    2.75746e+12    2.52634e+11     1.2533e+08
           10.4    1.71938e+11    1.36527e+11              0    4.10809e+06    2.79406e+12    2.69534e+11    1.35062e+08
           10.6    1.76603e+11    1.40883e+11              0    4.72506e+06    2.83086e+12    2.87151e+11    1.45374e+08
           10.8     1.8138e+11     1.4533e+11              0     5.4159e+06    2.86785e+12    3.05487e+11    1.56291e+08
             11    1.86272e+11    1.49871e+11              0    6.18696e+06    2.90505e+12    3.24569e+11    1.67839e+08
           11.2    1.91282e+11    1.54505e+11              0    7.04499e+06    2.94245e+12     3.4442e+11    1.80045e+08
           11.4    1.96412e+11    1.59233e+11              0    7.99707e+06    2.98004e+12    3.65034e+11    1.92933e+08
           11.6    2.01663e+11    1.64057e+11              0    9.05075e+06    3.01783e+12    3.86368e+11    2.06534e+08
           11.8    2.07041e+11    1.68976e+11              0    1.02139e+07     3.0558e+12    4.08372e+11    2.20873e+08
             12    2.12546e+11    1.73992e+11              0    1.14948e+07    3.09397e+12    4.31057e+11    2.35981e+08
           12.2    2.18181e+11    1.79106e+11              0    1.29023e+07    3.13234e+12    4.54471e+11    2.51885e+08
           12.4    2.23949e+11    1.84318e+11              0    1.44452e+07    3.17089e+12    4.78649e+11    2.68617e+08
           12.6    2.29853e+11    1.89629e+11              0    1.61331e+07    3.20964e+12    5.03546e+11    2.86204e+08
           12.8    2.35895e+11     1.9504e+11              0    1.79758e+07    3.24857e+12    5.29098e+11    3.04677e+08
             13    2.42079e+11     2.0055e+11              0    1.99833e+07    3.28768e+12    5.55427e+11    3.24066e+08
           13.2    2.48408e+11    2.06162e+11              0    2.21661e+07    3.32697e+12     5.8281e+11    3.44403e+08
           13.4    2.54883e+11    2.11876e+11              0    2.45351e+07    3.36645e+12    6.11396e+11    3.65719e+08
           13.6    2.61509e+11    2.17693e+11              0    2.71015e+07    3.40612e+12    6.40702e+11    3.88045e+08
           13.8    2.68288e+11    2.23612e+11              0    2.98767e+07    3.44596e+12     6.6989e+11    4.11415e+08
             14    2.75224e+11    2.29636e+11              0    3.28727e+07    3.48599e+12     6.9829e+11    4.35861e+08
           14.2     2.8232e+11    2.35764e+11              0    3.61017e+07    3.52618e+12    7.26009e+11    4.61417e+08
           14.4    2.89578e+11    2.41997e+11              0    3.95763e+07    3.56655e+12    7.53406e+11    4.88118e+08
           14.6    2.97003e+11    2.48335e+11              0    4.33097e+07     3.6071e+12    7.80789e+11    5.15998e+08
           14.8    3.04597e+11    2.54781e+11              0    4.73153e+07    3.64783e+12    8.08276e+11    5.45094e+08
             15    3.12364e+11    2.61333e+11              0    5.16069e+07    3.68872e+12    8.35956e+11    5.75441e+08
           15.2    3.20307e+11    2.67993e+11              0     5.6199e+07    3.72979e+12     8.6396e+11    6.07076e+08
           15.4    3.28431e+11     2.7476e+11              0    6.11062e+07    3.77102e+12    8.92327e+11    6.40035e+08
           15.6    3.36738e+11    2.81637e+11              0    6.63438e+07    3.81243e+12    9.21076e+11    6.74358e+08
           15.8    3.45232e+11    2.88623e+11              0    7.19276e+07      3.854e+12    9.50155e+11     7.1008e+08
             16    3.53917e+11    2.95719e+11              0    7.78737e+07    3.89573e+12    9.79517e+11     7.4724e+08
           16.2    3.62796e+11    3.02926e+11              0    8.41989e+07    3.93763e+12    1.00924e+12    7.85879e+08
           16.4    3.71874e+11    3.10243e+11              0      9.092e+07     3.9797e+12    1.03941e+12    8.26033e+08
           16.6    3.81154e+11    3.17672e+11              0    9.80548e+07    4.02192e+12    1.06997e+12    8.67742e+08
           16.8    3.90641e+11    3.25213e+11              0    1.05621e+08     4.0643e+12    1.10062e+12    9.11046e+08
             17    4.00338e+11    3.32867e+11              0    1.13638e+08    4.10684e+12    1.13108e+12    9.55986e+08
           17.2    4.10249e+11    3.40634e+11              0    1.22123e+08    4.14954e+12     1.1614e+12     1.0026e+09
           17.4    4.20379e+11    3.48514e+11              0    1.31097e+08     4.1924e+12    1.19196e+12    1.05094e+09
           17.6    4.30731e+11    3.56509e+11              0    1.40579e+08    4.23541e+12    1.22296e+12    1.10103e+09
           17.8    4.41311e+11    3.64618e+11              0    1.50589e+08    4.27857e+12    1.25443e+12    1.15293e+09
             18    4.52123e+11    3.72842e+11              0    1.61148e+08    4.32189e+12    1.28636e+12    1.20667e+09
           18.2     4.6317e+11    3.81181e+11              0    1.72277e+08    4.36535e+12    1.31894e+12    1.26229e+09
           18.4    4.74458e+11    3.89636e+11              0    1.83996e+08    4.40897e+12    1.35238e+12    1.31985e+09
           18.6     4.8599e+11    3.98208e+11              0    1.96328e+08    4.45273e+12    1.38665e+12    1.37939e+09
           18.8    4.97772e+11    4.06897e+11              0    2.09295e+08    4.49665e+12    1.42131e+12    1.44094e+09
             19     5.0981e+11    4.15702e+11              0    2.22919e+08     4.5407e+12    1.45588e+12    1.50455e+09
           19.2    5.22106e+11    4.24625e+11              0    2.37224e+08     4.5849e+12    1.49017e+12    1.57027e+09
           19.4    5.34667e+11    4.33666e+11              0    2.52232e+08    4.62925e+12    1.52442e+12    1.63814e+09
           19.6    5.47497e+11    4.42825e+11              0    2.67968e+08    4.67373e+12    1.55887e+12    1.70821e+09
           19.8      5.606e+11    4.52104e+11              0    2.84456e+08    4.71836e+12    1.59345e+12    1.78052e+09
             20    5.73984e+11    4.61501e+11              0    3.01721e+08    4.76313e+12    1.62801e+12    1.85511e+09
           20.2    5.87652e+11    4.71017e+11              0    3.19788e+08    4.80804e+12    1.66253e+12    1.93204e+09
           20.4     6.0161e+11    4.80654e+11              0    3.38683e+08    4.85308e+12    1.69735e+12    2.01135e+09
           20.6    6.15864e+11     4.9041e+11              0    3.58431e+08    4.89825e+12    1.73268e+12    2.09308e+09
           20.8    6.30419e+11    5.00287e+11              0     3.7906e+08    4.94356e+12    1.76831e+12    2.17729e+09
             21    6.45279e+11    5.10285e+11              0    4.00596e+08    4.98901e+12    1.80387e+12    2.26402e+09
           21.2    6.60452e+11    5.20403e+11              0    4.23066e+08    5.03459e+12    1.83915e+12    2.35331e+09
           21.4    6.75944e+11    5.30643e+11              0    4.46497e+08    5.08029e+12    1.87438e+12    2.44522e+09
           21.6    6.91759e+11    5.41004e+11              0    4.70919e+08    5.12613e+12    1.90976e+12    2.53979e+09
           21.8    7.07903e+11    5.51487e+11              0    4.96358e+08    5.17209e+12    1.94527e+12    2.63708e+09
             22    7.24384e+11    5.62093e+11              0    5.22844e+08    5.21818e+12    1.98073e+12    2.73712e+09
           22.2    7.41206e+11    5.72821e+11              0    5.50407e+08     5.2644e+12    2.01606e+12    2.83997e+09
           22.4    7.58376e+11    5.83671e+11              0    5.79073e+08    5.31074e+12    2.05148e+12    2.94568e+09
           22.6    7.75901e+11    5.94645e+11              0    6.08875e+08    5.35721e+12     2.0872e+12    3.05429e+09
           22.8    7.93787e+11    6.05741e+11              0     6.3984e+08     5.4038e+12    2.12325e+12    3.16586e+09
             23     8.1204e+11    6.16961e+11              0    6.72001e+08     5.4505e+12    2.15945e+12    3.28043e+09
           23.2    8.30668e+11    6.28304e+11              0    7.05387e+08    5.49733e+12    2.19571e+12    3.39805e+09
           23.4    8.49675e+11    6.39771e+11              0     7.4003e+08    5.54428e+12    2.23224e+12    3.51877e+09
           23.6    8.69071e+11    6.51362e+11              0     7.7596e+08    5.59134e+12    2.26937e+12    3.64265e+09
           23.8    8.88861e+11    6.63078e+11              0     8.1321e+08    5.63853e+12    2.30686e+12    3.76972e+09
             24    9.09053e+11    6.74917e+11              0    8.51812e+08    5.68582e+12    2.34412e+12    3.90005e+09
           24.2    9.29654e+11    6.86881e+11              0    8.91798e+08    5.73323e+12    2.38059e+12    4.03367e+09
           24.4    9.50671e+11    6.98969e+11              0      9.332e+08    5.78075e+12    2.41643e+12    4.17065e+09
           24.6    9.72111e+11    7.11183e+11              0    9.76053e+08    5.82839e+12    2.45205e+12    4.31103e+09
           24.8    9.93982e+11    7.23521e+11              0    1.02039e+09    5.87613e+12    2.48769e+12    4.45486e+09
             25    1.01629e+12    7.35984e+11              0    1.06624e+09    5.92399e+12    2.52331e+12    4.60219e+09
           25.2    1.03905e+12    7.48572e+11              0    1.11365e+09    5.97195e+12    2.55884e+12    4.75307e+09
           25.4    1.06226e+12    7.61286e+11              0    1.16264e+09    6.02001e+12    2.59442e+12    4.90755e+09
           25.6    1.08593e+12    7.74125e+11              0    1.21324e+09    6.06819e+12    2.63031e+12    5.06569e+09
           25.8    1.11007e+12     7.8709e+11              0    1.26551e+09    6.11647e+12    2.66653e+12    5.22753e+09
             26    1.13469e+12     8.0018e+11              0    1.31946e+09    6.16485e+12    2.70281e+12    5.39312e+09
           26.2     1.1598e+12    8.13396e+11              0    1.37514e+09    6.21334e+12    2.73881e+12    5.56252e+09
           26.4    1.18541e+12    8.26738e+11              0    1.43258e+09    6.26193e+12    2.77448e+12    5.73577e+09
           26.6    1.21151e+12    8.40205e+11              0    1.49181e+09    6.31061e+12    2.81009e+12    5.91292e+09
           26.8    1.23813e+12    8.53799e+11              0    1.55288e+09     6.3594e+12    2.84578e+12    6.09403e+09
             27    1.26527e+12    8.67519e+11              0    1.61581e+09    6.40829e+12    2.88137e+12    6.27914e+09
           27.2    1.29294e+12    8.81364e+11              0    1.68065e+09    6.45727e+12     2.9166e+12    6.46832e+09
           27.4    1.32115e+12    8.95336e+11              0    1.74744e+09    6.50635e+12    2.95151e+12    6.66159e+09
           27.6    1.34991e+12    9.09434e+11              0     1.8162e+09    6.55553e+12    2.98652e+12    6.85903e+09
           27.8    1.37923e+12    9.23658e+11              0    1.88697e+09    6.60479e+12    3.02182e+12    7.06067e+09
             28    1.40912e+12    9.38008e+11              0     1.9598e+09    6.65415e+12    3.05727e+12    7.26658e+09
           28.2    1.43958e+12    9.52484e+11              0    2.03472e+09    6.70361e+12     3.0926e+12    7.47679e+09
           28.4    1.47063e+12    9.67087e+11              0    2.11177e+09    6.75315e+12    3.12779e+12    7.69136e+09
           28.6    1.50227e+12    9.81816e+11              0    2.19098e+09    6.80279e+12    3.16314e+12    7.91035e+09
           28.8    1.53453e+12     9.9667e+11              0     2.2724e+09    6.85251e+12    3.19883e+12    8.13379e+09
             29     1.5674e+12    1.01165e+12              0    2.35607e+09    6.90232e+12    3.23458e+12    8.36174e+09
           29.2     1.6009e+12    1.02676e+12              0    2.44201e+09    6.95222e+12    3.26996e+12    8.59425e+09
           29.4    1.63503e+12    1.04199e+12              0    2.53027e+09     7.0022e+12    3.30475e+12    8.83137e+09
           29.6    1.66982e+12    1.05735e+12              0     2.6209e+09    7.05227e+12    3.33919e+12    9.07315e+09
           29.8    1.70526e+12    1.07284e+12              0    2.71392e+09    7.10242e+12    3.37359e+12    9.31965e+09
             30    1.74138e+12    1.08845e+12              0    2.80938e+09    7.15266e+12    3.40796e+12     9.5709e+09
           30.2    1.77818e+12    1.10419e+12              0    2.90732e+09    7.20297e+12    3.44215e+12    9.82696e+09
           30.4    1.81567e+12    1.12005e+12              0    3.00777e+09    7.25337e+12    3.47606e+12    1.00879e+10
           30.6    1.85387e+12    1.13604e+12              0    3.11077e+09    7.30384e+12    3.50997e+12    1.03537e+10
           30.8    1.89278e+12    1.15215e+12              0    3.21638e+09     7.3544e+12    3.54413e+12    1.06245e+10
             31    1.93242e+12     1.1684e+12              0    3.32462e+09    7.40504e+12    3.57843e+12    1.09003e+10
           31.2     1.9728e+12    1.18476e+12              0    3.43553e+09    7.45574e+12    3.61249e+12    1.11811e+10
           31.4    2.01394e+12    1.20125e+12              0    3.54915e+09    7.50653e+12    3.64606e+12    1.14671e+10
           31.6    2.05584e+12    1.21787e+12              0    3.66553e+09    7.55739e+12    3.67933e+12    1.17582e+10
           31.8    2.09851e+12    1.23461e+12              0    3.78471e+09    7.60833e+12    3.71259e+12    1.20545e+10
             32    2.14198e+12    1.25148e+12              0    3.90672e+09    7.65934e+12    3.74588e+12     1.2356e+10
           32.2    2.18625e+12    1.26848e+12              0    4.03161e+09    7.71042e+12    3.77904e+12    1.26629e+10
           32.4    2.23133e+12    1.28559e+12              0    4.15941e+09    7.76157e+12    3.81189e+12    1.29751e+10
           32.6    2.27725e+12    1.30284e+12              0    4.29017e+09    7.81279e+12     3.8446e+12    1.32926e+10
           32.8      2.324e+12    1.32021e+12              0    4.42392e+09    7.86408e+12    3.87744e+12    1.36157e+10
             33    2.37161e+12     1.3377e+12              0    4.56072e+09    7.91544e+12    3.91046e+12    1.39442e+10
           33.2    2.42009e+12    1.35532e+12              0    4.70059e+09    7.96687e+12    3.94343e+12    1.42782e+10
           33.4    2.46946e+12    1.37306e+12              0    4.84358e+09    8.01837e+12    3.97616e+12    1.46178e+10
           33.6    2.51972e+12    1.39092e+12              0    4.98972e+09    8.06993e+12    4.00873e+12    1.49631e+10
           33.8     2.5709e+12    1.40891e+12              0    5.13907e+09    8.12155e+12    4.04149e+12     1.5314e+10
             34      2.623e+12    1.42703e+12              0    5.29166e+09    8.17324e+12    4.07442e+12    1.56707e+10
           34.2    2.67605e+12    1.44526e+12              0    5.44753e+09    8.22499e+12    4.10717e+12    1.60331e+10
           34.4    2.73005e+12    1.46363e+12              0    5.60673e+09    8.27681e+12    4.13934e+12    1.64013e+10
           34.6    2.78502e+12    1.48211e+12              0    5.76928e+09    8.32869e+12    4.17098e+12    1.67754e+10
           34.8    2.84098e+12    1.50072e+12              0    5.93524e+09    8.38062e+12    4.20246e+12    1.71554e+10
             35    2.89794e+12    1.51945e+12              0    6.10465e+09    8.43262e+12    4.23395e+12    1.75414e+10
           35.2    2.95592e+12     1.5383e+12              0    6.27754e+09    8.48468e+12    4.26535e+12    1.79333e+10
           35.4    3.01494e+12    1.55728e+12              0    6.45396e+09    8.53679e+12    4.29645e+12    1.83313e+10
           35.6      3.075e+12    1.57638e+12              0    6.63395e+09    8.58896e+12    4.32726e+12    1.87354e+10
           35.8    3.13614e+12     1.5956e+12              0    6.81754e+09    8.64119e+12    4.35805e+12    1.91456e+10
             36    3.19836e+12    1.61494e+12              0    7.00479e+09    8.69347e+12    4.38894e+12    1.95619e+10
           36.2    3.26168e+12    1.63441e+12              0    7.19572e+09    8.74581e+12    4.41977e+12    1.99845e+10
           36.4    3.32611e+12      1.654e+12              0    7.39039e+09     8.7982e+12    4.45025e+12    2.04133e+10
           36.6    3.39168e+12     1.6737e+12              0    7.58882e+09    8.85064e+12    4.48031e+12    2.08485e+10
           36.8    3.45841e+12    1.69353e+12              0    7.79107e+09    8.90314e+12    4.51016e+12      2.129e+10
             37     3.5263e+12    1.71348e+12              0    7.99717e+09    8.95569e+12    4.54002e+12    2.17378e+10
           37.2    3.59539e+12    1.73356e+12              0    8.20717e+09    9.00829e+12     4.5698e+12    2.21922e+10
           37.4    3.66568e+12    1.75375e+12              0    8.42109e+09    9.06094e+12    4.59929e+12    2.26529e+10
           37.6     3.7372e+12    1.77406e+12              0    8.63899e+09    9.11364e+12    4.62842e+12    2.31202e+10
           37.8    3.80996e+12    1.79449e+12              0    8.86091e+09    9.16638e+12    4.65749e+12    2.35941e+10
             38    3.88398e+12    1.81504e+12              0    9.08688e+09    9.21918e+12    4.68669e+12    2.40745e+10
           38.2    3.95929e+12    1.83572e+12              0    9.31694e+09    9.27202e+12    4.71595e+12    2.45616e+10
           38.4     4.0359e+12    1.85651e+12              0    9.55114e+09     9.3249e+12      4.745e+12    2.50554e+10
           38.6    4.11383e+12    1.87742e+12              0    9.78952e+09    9.37784e+12    4.77373e+12    2.55558e+10
           38.8    4.19311e+12    1.89845e+12              0    1.00321e+10    9.43081e+12    4.80235e+12    2.60631e+10
             39    4.27375e+12     1.9196e+12              0    1.02789e+10    9.48383e+12    4.83108e+12    2.65771e+10
           39.2    4.35577e+12    1.94086e+12              0    1.05301e+10     9.5369e+12    4.85983e+12     2.7098e+10
           39.4    4.43919e+12    1.96225e+12              0    1.07856e+10       9.59e+12    4.88831e+12    2.76258e+10
           39.6    4.52404e+12    1.98375e+12              0    1.10454e+10    9.64315e+12    4.91634e+12    2.81604e+10
           39.8    4.61034e+12    2.00537e+12              0    1.13097e+10    9.69634e+12    4.94406e+12     2.8702e+10
             40     4.6981e+12    2.02711e+12              0    1.15784e+10    9.74956e+12    4.97176e+12    2.92507e+10
           40.2    4.78736e+12    2.04896e+12              0    1.18516e+10    9.80283e+12    4.99945e+12    2.98063e+10
           40.4    4.87813e+12    2.07093e+12              0    1.21293e+10    9.85614e+12    5.02697e+12     3.0369e+10
           40.6    4.97043e+12    2.09302e+12              0    1.24116e+10    9.90948e+12    5.05417e+12    3.09389e+10
           40.8    5.06429e+12    2.11522e+12              0    1.26985e+10    9.96286e+12    5.08118e+12    3.15158e+10
             41    5.15973e+12    2.13754e+12              0    1.29901e+10    1.00163e+13    5.10826e+12       3.21e+10
           41.2    5.25678e+12    2.15997e+12          18130    1.32863e+10    1.00697e+13    5.13539e+12    3.26913e+10
