    E, kcal/mol    D, mol/kcal        W1->W2a        W1->W4a         W1->P1
           12.2    7.45231e+11    1.62599e+10              0    1.20308e+11
           12.4     7.6432e+11    1.65897e+10              0    1.24714e+11
           12.6    7.83844e+11    1.69234e+10              0     1.2919e+11
           12.8    8.03812e+11    1.72612e+10              0    1.33736e+11
             13    8.24232e+11    1.76029e+10              0    1.38343e+11
           13.2    8.45113e+11    1.79487e+10              0    1.43033e+11
           13.4    8.66464e+11    1.82985e+10              0    1.47804e+11
           13.6    8.88295e+11    1.86524e+10              0    1.52661e+11
           13.8    9.10615e+11    1.90102e+10              0    1.57591e+11
             14    9.33433e+11    1.93721e+10              0    1.62596e+11
           14.2     9.5676e+11    1.97381e+10              0    1.67684e+11
           14.4    9.80605e+11    2.01081e+10              0    1.72865e+11
           14.6    1.00498e+12    2.04821e+10              0    1.78165e+11
           14.8    1.02989e+12    2.08602e+10              0     1.8359e+11
             15    1.05535e+12    2.12424e+10              0    1.89137e+11
           15.2    1.08137e+12    2.16286e+10              0    1.94785e+11
           15.4    1.10797e+12     2.2019e+10              0    2.00511e+11
           15.6    1.13514e+12    2.24133e+10              0    2.06336e+11
           15.8     1.1629e+12    2.28118e+10              0    2.12288e+11
             16    1.19127e+12    2.32144e+10              0    2.18359e+11
           16.2    1.22026e+12     2.3621e+10              0    2.24524e+11
           16.4    1.24987e+12    2.40317e+10              0    2.30752e+11
           16.6    1.28013e+12    2.44465e+10              0    2.37049e+11
           16.8    1.31103e+12    2.48654e+10              0    2.43442e+11
             17     1.3426e+12    2.52884e+10              0    2.49929e+11
           17.2    1.37484e+12    2.57155e+10              0    2.56514e+11
           17.4    1.40777e+12    2.61467e+10              0    2.63203e+11
           17.6     1.4414e+12     2.6582e+10              0    2.69977e+11
           17.8    1.47575e+12    2.70213e+10              0    2.76811e+11
             18    1.51083e+12    2.74648e+10              0    2.83713e+11
           18.2    1.54665e+12    2.79123e+10              0    2.90687e+11
           18.4    1.58322e+12     2.8364e+10              0    2.97734e+11
           18.6    1.62056e+12    2.88198e+10              0    3.04871e+11
           18.8    1.65869e+12    2.92796e+10              0    3.12106e+11
             19    1.69761e+12    2.97435e+10              0     3.1944e+11
           19.2    1.73735e+12    3.02116e+10              0    3.26874e+11
           19.4    1.77791e+12    3.06837e+10              0    3.34412e+11
           19.6    1.81932e+12    3.11599e+10              0    3.42047e+11
           19.8    1.86159e+12    3.16402e+10              0    3.49773e+11
             20    1.90472e+12    3.21245e+10              0    3.57608e+11
           20.2    1.94875e+12     3.2613e+10              0    3.65541e+11
           20.4    1.99369e+12    3.31055e+10              0    3.73554e+11
           20.6    2.03954e+12    3.36021e+10              0    3.81633e+11
           20.8    2.08634e+12    3.41028e+10              0    3.89784e+11
             21    2.13409e+12    3.46075e+10              0    3.98024e+11
           21.2    2.18281e+12    3.51163e+10              0    4.06364e+11
           21.4    2.23252e+12    3.56292e+10              0    4.14791e+11
           21.6    2.28324e+12    3.61462e+10              0    4.23287e+11
           21.8    2.33498e+12    3.66671e+10              0    4.31839e+11
             22    2.38777e+12    3.71922e+10              0    4.40443e+11
           22.2    2.44162e+12    3.77213e+10              0    4.49111e+11
           22.4    2.49656e+12    3.82544e+10              0    4.57845e+11
           22.6    2.55259e+12    3.87915e+10              0    4.66646e+11
           22.8    2.60974e+12    3.93327e+10              0    4.75515e+11
             23    2.66803e+12    3.98779e+10              0    4.84437e+11
           23.2    2.72748e+12    4.04272e+10              0    4.93393e+11
           23.4     2.7881e+12    4.09804e+10              0     5.0239e+11
           23.6    2.84993e+12    4.15377e+10              0    5.11435e+11
           23.8    2.91298e+12    4.20989e+10              0    5.20533e+11
             24    2.97727e+12    4.26642e+10              0    5.29684e+11
           24.2    3.04282e+12    4.32334e+10              0      5.389e+11
           24.4    3.10966e+12    4.38066e+10              0    5.48185e+11
           24.6     3.1778e+12    4.43838e+10              0    5.57527e+11
           24.8    3.24727e+12     4.4965e+10              0    5.66922e+11
             25     3.3181e+12    4.55501e+10              0    5.76373e+11
           25.2     3.3903e+12    4.61392e+10              0    5.85887e+11
           25.4    3.46389e+12    4.67323e+10              0    5.95473e+11
           25.6    3.53892e+12    4.73292e+10              0    6.05128e+11
           25.8    3.61538e+12    4.79301e+10              0    6.14842e+11
             26    3.69332e+12     4.8535e+10              0     6.2462e+11
           26.2    3.77276e+12    4.91437e+10              0    6.34464e+11
           26.4    3.85371e+12    4.97564e+10              0     6.4438e+11
           26.6    3.93621e+12    5.03729e+10              0    6.54371e+11
           26.8    4.02029e+12    5.09934e+10              0     6.6443e+11
             27    4.10596e+12    5.16177e+10              0    6.74544e+11
           27.2    4.19326e+12    5.22459e+10              0    6.84699e+11
           27.4    4.28221e+12     5.2878e+10              0    6.94885e+11
           27.6    4.37284e+12    5.35139e+10              0    7.05109e+11
           27.8    4.46518e+12    5.41537e+10              0    7.15375e+11
             28    4.55926e+12    5.47973e+10              0    7.25689e+11
           28.2     4.6551e+12    5.54448e+10              0    7.36049e+11
           28.4    4.75273e+12    5.60961e+10              0    7.46447e+11
           28.6    4.85219e+12    5.67512e+10              0    7.56881e+11
           28.8     4.9535e+12      5.741e+10              0    7.67353e+11
             29     5.0567e+12    5.80727e+10              0    7.77862e+11
           29.2    5.16181e+12    5.87392e+10              0    7.88407e+11
           29.4    5.26887e+12    5.94094e+10              0    7.98989e+11
           29.6     5.3779e+12    6.00834e+10              0    8.09614e+11
           29.8    5.48894e+12    6.07612e+10              0    8.20281e+11
             30    5.60203e+12    6.14427e+10              0    8.30984e+11
           30.2    5.71719e+12    6.21279e+10              0    8.41727e+11
           30.4    5.83445e+12    6.28169e+10              0     8.5252e+11
           30.6    5.95386e+12    6.35095e+10              0    8.63363e+11
           30.8    6.07545e+12    6.42059e+10              0    8.74257e+11
             31    6.19925e+12    6.49059e+10              0    8.85198e+11
           31.2    6.32529e+12    6.56097e+10              0    8.96179e+11
           31.4    6.45362e+12    6.63171e+10              0    9.07196e+11
           31.6    6.58427e+12    6.70281e+10              0    9.18252e+11
           31.8    6.71727e+12    6.77428e+10              0    9.29345e+11
             32    6.85267e+12    6.84612e+10              0    9.40476e+11
           32.2    6.99049e+12    6.91831e+10              0     9.5164e+11
           32.4    7.13079e+12    6.99087e+10              0    9.62824e+11
           32.6    7.27359e+12    7.06379e+10              0    9.74015e+11
           32.8    7.41894e+12    7.13707e+10              0    9.85212e+11
             33    7.56688e+12     7.2107e+10              0    9.96421e+11
           33.2    7.71745e+12    7.28469e+10              0    1.00764e+12
           33.4    7.87068e+12    7.35904e+10              0    1.01888e+12
           33.6    8.02663e+12    7.43374e+10              0    1.03014e+12
           33.8    8.18533e+12     7.5088e+10              0    1.04141e+12
             34    8.34682e+12     7.5842e+10              0     1.0527e+12
           34.2    8.51115e+12    7.65996e+10              0      1.064e+12
           34.4    8.67836e+12    7.73607e+10              0    1.07532e+12
           34.6    8.84851e+12    7.81252e+10              0    1.08666e+12
           34.8    9.02162e+12    7.88933e+10              0    1.09803e+12
             35    9.19775e+12    7.96648e+10        2374.61    1.10944e+12
           35.2    9.37694e+12    8.04397e+10        35152.2    1.12087e+12
           35.4    9.55924e+12    8.12181e+10         114680    1.13235e+12
           35.6    9.74471e+12    8.19999e+10         238454    1.14385e+12
           35.8    9.93337e+12    8.27851e+10         407115     1.1554e+12
             36    1.01253e+13    8.35737e+10         618319    1.16697e+12
           36.2    1.03205e+13    8.43657e+10         861312    1.17859e+12
           36.4    1.05191e+13     8.5161e+10    1.13197e+06    1.19023e+12
           36.6    1.07211e+13    8.59598e+10    1.43262e+06    1.20189e+12
           36.8    1.09265e+13    8.67618e+10    1.76247e+06    1.21356e+12
             37    1.11355e+13    8.75672e+10    2.12607e+06    1.22525e+12
           37.2     1.1348e+13     8.8376e+10     2.5567e+06    1.23695e+12
           37.4    1.15641e+13     8.9188e+10    3.08605e+06    1.24867e+12
           37.6    1.17839e+13    9.00034e+10    3.71039e+06     1.2604e+12
           37.8    1.20074e+13     9.0822e+10    4.43208e+06    1.27215e+12
             38    1.22347e+13    9.16439e+10    5.25388e+06     1.2839e+12
           38.2    1.24658e+13     9.2469e+10    6.15225e+06    1.29565e+12
           38.4    1.27008e+13    9.32974e+10    7.10295e+06    1.30741e+12
           38.6    1.29398e+13    9.41291e+10    8.13133e+06    1.31917e+12
           38.8    1.31828e+13    9.49639e+10    9.26536e+06    1.33095e+12
             39    1.34298e+13     9.5802e+10    1.05041e+07    1.34273e+12
           39.2    1.36809e+13    9.66432e+10     1.1888e+07    1.35454e+12
           39.4    1.39363e+13    9.74877e+10    1.34801e+07    1.36635e+12
           39.6    1.41959e+13    9.83353e+10    1.52834e+07    1.37817e+12
           39.8    1.44598e+13    9.91861e+10    1.72824e+07    1.39002e+12
             40    1.47281e+13     1.0004e+11    1.94727e+07    1.40188e+12
           40.2    1.50008e+13    1.00897e+11    2.18317e+07    1.41376e+12
           40.4     1.5278e+13    1.01757e+11    2.43464e+07    1.42566e+12
           40.6    1.55598e+13     1.0262e+11    2.70397e+07    1.43757e+12
           40.8    1.58462e+13    1.03487e+11    2.99629e+07     1.4495e+12
             41    1.61373e+13    1.04356e+11    3.31149e+07    1.46145e+12
           41.2    1.64331e+13    1.05229e+11    3.65224e+07    1.47341e+12
           41.4    1.67338e+13    1.06104e+11    4.02532e+07    1.48538e+12
           41.6    1.70395e+13    1.06983e+11    4.43275e+07    1.49735e+12
           41.8      1.735e+13    1.07864e+11    4.87159e+07    1.50933e+12
             42    1.76657e+13    1.08749e+11    5.34078e+07    1.52131e+12
           42.2    1.79864e+13    1.09637e+11    5.83961e+07    1.53328e+12
           42.4    1.83124e+13    1.10527e+11    6.36868e+07    1.54525e+12
           42.6    1.86436e+13    1.11421e+11    6.92994e+07    1.55722e+12
           42.8    1.89801e+13    1.12317e+11    7.52997e+07    1.56918e+12
             43    1.93221e+13    1.13217e+11    8.17026e+07    1.58115e+12
           43.2    1.96695e+13    1.14119e+11    8.85318e+07    1.59312e+12
           43.4    2.00225e+13    1.15024e+11    9.58343e+07    1.60509e+12
           43.6    2.03812e+13    1.15932e+11    1.03653e+08    1.61705e+12
           43.8    2.07456e+13    1.16844e+11    1.11968e+08    1.62902e+12
             44    2.11158e+13    1.17758e+11    1.20761e+08    1.64099e+12
